id_orgao,id_servico,nome_orgao
37528,986,Ministério da Educação (MEC)
37534,1112,Ministério da Saúde (MS)
37539,1093,Ministério das Relações Exteriores (MRE)
37539,1097,Ministério das Relações Exteriores (MRE)
37544,1704,Ministério do Meio Ambiente (MMA)
914,4649,Agência Nacional de Vigilância Sanitária (ANVISA)
917,2221,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
37528,1105,Ministério da Educação (MEC)
37525,1429,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37534,1110,Ministério da Saúde (MS)
58051,2348,Agência Nacional de Mineração (ANM)
37525,1119,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37524,1120,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37534,1113,Ministério da Saúde (MS)
37524,1116,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37525,1430,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
58108,1115,Ministério da Economia (ME)
37528,1709,Ministério da Educação (MEC)
7581,2319,Comissão Nacional de Energia Nuclear (CNEN)
6041,1221,Casa Civil da Presidência da República (CC-PR)
37528,1161,Ministério da Educação (MEC)
58109,1220,Ministério do Desenvolvimento Regional (MDR)
37539,1037,Ministério das Relações Exteriores (MRE)
37525,1431,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
34309,2411,Fundação Nacional de Artes (FUNARTE)
37525,1436,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
58051,2342,Agência Nacional de Mineração (ANM)
37540,1708,Ministério de Minas e Energia (MME)
37539,1707,Ministério das Relações Exteriores (MRE)
37525,1435,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
890,2592,Agência Espacial Brasileira (AEB)
37525,1432,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
58108,1157,Ministério da Economia (ME)
7581,2320,Comissão Nacional de Energia Nuclear (CNEN)
37524,1209,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
58108,1152,Ministério da Economia (ME)
58045,971,Ministério da Cidadania (MCIDADANIA)
58045,1184,Ministério da Cidadania (MCIDADANIA)
58051,3364,Agência Nacional de Mineração (ANM)
37524,1190,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
34309,2407,Fundação Nacional de Artes (FUNARTE)
37528,987,Ministério da Educação (MEC)
7581,2321,Comissão Nacional de Energia Nuclear (CNEN)
58045,1208,Ministério da Cidadania (MCIDADANIA)
37548,1211,Ministério da Infraestrutura (MINFRA)
37534,1748,Ministério da Saúde (MS)
37534,1685,Ministério da Saúde (MS)
7581,2322,Comissão Nacional de Energia Nuclear (CNEN)
7581,2325,Comissão Nacional de Energia Nuclear (CNEN)
908,2595,Agência Nacional de Aviação Civil (ANAC)
37534,1269,Ministério da Saúde (MS)
822,1222,Advocacia-Geral da União (AGU)
37524,1747,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
7581,2323,Comissão Nacional de Energia Nuclear (CNEN)
37524,1223,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37528,1228,Ministério da Educação (MEC)
7581,2324,Comissão Nacional de Energia Nuclear (CNEN)
37528,1230,Ministério da Educação (MEC)
37548,1231,Ministério da Infraestrutura (MINFRA)
37528,1286,Ministério da Educação (MEC)
908,2192,Agência Nacional de Aviação Civil (ANAC)
36724,2789,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
37528,1452,Ministério da Educação (MEC)
37525,1434,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37525,1438,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37528,1451,Ministério da Educação (MEC)
37528,1302,Ministério da Educação (MEC)
58108,1494,Ministério da Economia (ME)
37528,1304,Ministério da Educação (MEC)
37524,1342,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37525,1437,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37534,1749,Ministério da Saúde (MS)
58045,1297,Ministério da Cidadania (MCIDADANIA)
58109,1294,Ministério do Desenvolvimento Regional (MDR)
37524,1341,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37528,1311,Ministério da Educação (MEC)
37525,1440,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37528,1301,Ministério da Educação (MEC)
37528,1307,Ministério da Educação (MEC)
37528,1305,Ministério da Educação (MEC)
37525,1441,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37528,1312,Ministério da Educação (MEC)
37525,1442,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
58108,1323,Ministério da Economia (ME)
58108,1317,Ministério da Economia (ME)
37534,1339,Ministério da Saúde (MS)
37528,1447,Ministério da Educação (MEC)
7581,2326,Comissão Nacional de Energia Nuclear (CNEN)
37528,1445,Ministério da Educação (MEC)
37524,1352,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37528,1448,Ministério da Educação (MEC)
37524,1347,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1344,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
58108,1333,Ministério da Economia (ME)
37528,1449,Ministério da Educação (MEC)
37524,1356,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37528,1450,Ministério da Educação (MEC)
36802,2519,Instituto Nacional do Seguro Social (INSS)
37524,1366,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1367,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37528,1454,Ministério da Educação (MEC)
58108,1463,Ministério da Economia (ME)
37524,1368,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
58108,1458,Ministério da Economia (ME)
917,2228,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
37524,1408,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1389,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37534,1751,Ministério da Saúde (MS)
34309,2409,Fundação Nacional de Artes (FUNARTE)
37528,1753,Ministério da Educação (MEC)
36790,2487,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP)
37524,1411,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1395,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1396,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1401,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1404,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1405,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1400,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37524,1409,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
58109,1418,Ministério do Desenvolvimento Regional (MDR)
37524,1215,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
58108,1481,Ministério da Economia (ME)
34309,2412,Fundação Nacional de Artes (FUNARTE)
58109,1422,Ministério do Desenvolvimento Regional (MDR)
37539,1518,Ministério das Relações Exteriores (MRE)
58108,1483,Ministério da Economia (ME)
36790,2488,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (INEP)
58108,1492,Ministério da Economia (ME)
36724,2790,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
37534,1519,Ministério da Saúde (MS)
58108,1506,Ministério da Economia (ME)
37534,1527,Ministério da Saúde (MS)
37534,1525,Ministério da Saúde (MS)
37534,1526,Ministério da Saúde (MS)
58108,1488,Ministério da Economia (ME)
37534,1531,Ministério da Saúde (MS)
37534,1532,Ministério da Saúde (MS)
8720,2327,Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)
37534,1523,Ministério da Saúde (MS)
37534,1533,Ministério da Saúde (MS)
37534,1537,Ministério da Saúde (MS)
58108,1509,Ministério da Economia (ME)
58107,3689,Ministério da Justiça e Segurança Pública (MJSP)
34306,2562,Fundação Instituto de Pesquisa Econômica Aplicada (IPEA)
37534,1546,Ministério da Saúde (MS)
37524,923,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37539,1711,Ministério das Relações Exteriores (MRE)
822,1712,Advocacia-Geral da União (AGU)
58109,1698,Ministério do Desenvolvimento Regional (MDR)
37534,1754,Ministério da Saúde (MS)
37528,1303,Ministério da Educação (MEC)
37540,1517,Ministério de Minas e Energia (MME)
37539,1713,Ministério das Relações Exteriores (MRE)
37528,1716,Ministério da Educação (MEC)
913,8109,Agência Nacional de Transportes Terrestres (ANTT)
37528,1721,Ministério da Educação (MEC)
37535,1714,Controladoria-Geral da União (CGU)
37534,1522,Ministério da Saúde (MS)
36724,2791,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
37534,1528,Ministério da Saúde (MS)
37534,1539,Ministério da Saúde (MS)
37534,1524,Ministério da Saúde (MS)
37528,1715,Ministério da Educação (MEC)
37534,1529,Ministério da Saúde (MS)
37534,1534,Ministério da Saúde (MS)
37534,1541,Ministério da Saúde (MS)
37534,1535,Ministério da Saúde (MS)
37528,1718,Ministério da Educação (MEC)
8720,2328,Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)
37534,1545,Ministério da Saúde (MS)
37534,1547,Ministério da Saúde (MS)
37534,1549,Ministério da Saúde (MS)
37534,1548,Ministério da Saúde (MS)
37534,1550,Ministério da Saúde (MS)
37534,1544,Ministério da Saúde (MS)
37528,1719,Ministério da Educação (MEC)
8720,2329,Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)
37534,1761,Ministério da Saúde (MS)
58108,1769,Ministério da Economia (ME)
37534,1763,Ministério da Saúde (MS)
908,2598,Agência Nacional de Aviação Civil (ANAC)
37528,1720,Ministério da Educação (MEC)
37528,1722,Ministério da Educação (MEC)
8720,2330,Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)
8720,2331,Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)
36724,2794,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (IBAMA)
34309,2413,Fundação Nacional de Artes (FUNARTE)
37021,2573,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro (JBRJ)
7581,2662,Comissão Nacional de Energia Nuclear (CNEN)
58051,2341,Agência Nacional de Mineração (ANM)
58051,2337,Agência Nacional de Mineração (ANM)
34309,2415,Fundação Nacional de Artes (FUNARTE)
6041,917,Casa Civil da Presidência da República (CC-PR)
910,2233,Agência Nacional de Saúde Suplementar (ANS)
13293,2267,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES)
913,8056,Agência Nacional de Transportes Terrestres (ANTT)
37544,1684,Ministério do Meio Ambiente (MMA)
58108,1682,Ministério da Economia (ME)
37534,1742,Ministério da Saúde (MS)
37534,1741,Ministério da Saúde (MS)
58108,1683,Ministério da Economia (ME)
822,1694,Advocacia-Geral da União (AGU)
36783,886,Instituto Nacional da Propriedade Industrial (INPI)
37524,1695,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37527,1691,Ministério da Defesa (MD)
37527,1218,Ministério da Defesa (MD)
912,2240,Agência Nacional de Transportes Aquaviários (ANTAQ)
37534,1521,Ministério da Saúde (MS)
58107,2355,Ministério da Justiça e Segurança Pública (MJSP)
37534,1270,Ministério da Saúde (MS)
58107,2349,Ministério da Justiça e Segurança Pública (MJSP)
909,3153,Agência Nacional de Energia Elétrica (ANEEL)
37524,1224,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
36802,2535,Instituto Nacional do Seguro Social (INSS)
37525,65,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37524,1406,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
34310,2428,Fundação Nacional de Saúde (FUNASA)
34300,2358,Fundação Biblioteca Nacional (FBN)
34300,2359,Fundação Biblioteca Nacional (FBN)
37527,263,Ministério da Defesa (MD)
37524,1407,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37534,1043,Ministério da Saúde (MS)
37021,2565,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro (JBRJ)
34300,2360,Fundação Biblioteca Nacional (FBN)
37544,1516,Ministério do Meio Ambiente (MMA)
37528,992,Ministério da Educação (MEC)
37535,1103,Controladoria-Geral da União (CGU)
37534,1530,Ministério da Saúde (MS)
37528,1254,Ministério da Educação (MEC)
37534,1750,Ministério da Saúde (MS)
37534,1338,Ministério da Saúde (MS)
37534,1542,Ministério da Saúde (MS)
37534,1543,Ministério da Saúde (MS)
37524,1410,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
37528,1740,Ministério da Educação (MEC)
917,3176,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP)"
37524,929,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
34309,2417,Fundação Nacional de Artes (FUNARTE)
58107,1079,Ministério da Justiça e Segurança Pública (MJSP)
37539,1706,Ministério das Relações Exteriores (MRE)
37528,1300,Ministério da Educação (MEC)
34309,2420,Fundação Nacional de Artes (FUNARTE)
912,2244,Agência Nacional de Transportes Aquaviários (ANTAQ)
34309,2418,Fundação Nacional de Artes (FUNARTE)
34309,2419,Fundação Nacional de Artes (FUNARTE)
37534,1536,Ministério da Saúde (MS)
37534,1762,Ministério da Saúde (MS)
37021,2577,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro (JBRJ)
37534,1160,Ministério da Saúde (MS)
58108,1491,Ministério da Economia (ME)
37525,1049,"Ministério da Ciência, Tecnologia, Inovações e Comunicações (MCTIC)"
37534,1735,Ministério da Saúde (MS)
34300,2361,Fundação Biblioteca Nacional (FBN)
34301,2363,Fundação Casa de Rui Barbosa (FCRB)
34301,2367,Fundação Casa de Rui Barbosa (FCRB)
34300,2362,Fundação Biblioteca Nacional (FBN)
34301,2365,Fundação Casa de Rui Barbosa (FCRB)
34312,2368,Fundação Oswaldo Cruz (FIOCRUZ)
34309,2421,Fundação Nacional de Artes (FUNARTE)
37528,1132,Ministério da Educação (MEC)
34301,2364,Fundação Casa de Rui Barbosa (FCRB)
36722,2466,Instituto Brasileiro de Museus (IBRAM)
7581,2739,Comissão Nacional de Energia Nuclear (CNEN)
822,912,Advocacia-Geral da União (AGU)
34312,2369,Fundação Oswaldo Cruz (FIOCRUZ)
36789,2496,Instituto Nacional de Educação de Surdos (INES)
34312,2370,Fundação Oswaldo Cruz (FIOCRUZ)
37534,1111,Ministério da Saúde (MS)
34310,2433,Fundação Nacional de Saúde (FUNASA)
34310,2424,Fundação Nacional de Saúde (FUNASA)
34312,2371,Fundação Oswaldo Cruz (FIOCRUZ)
34310,2426,Fundação Nacional de Saúde (FUNASA)
7907,4350,Comissão de Valores Mobiliários (CVM)
34307,2442,Fundação Joaquim Nabuco (FUNDAJ)
7581,2740,Comissão Nacional de Energia Nuclear (CNEN)
37524,1170,"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"
34312,2372,Fundação Oswaldo Cruz (FIOCRUZ)
34310,2429,Fundação Nacional de Saúde (FUNASA)
36726,2479,Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio)
34312,2373,Fundação Oswaldo Cruz (FIOCRUZ)
34312,2374,Fundação Oswaldo Cruz (FIOCRUZ)
34310,2431,Fundação Nacional de Saúde (FUNASA)
36793,2506,"Instituto Nacional de Metrologia, Qualidade e Tecnologia (INMETRO)"
